"sigla_tribunal","procedimento","ramo_justica","sigla_grau","uf_oj","municipio_oj","id_ultimo_oj","nome","mesano_cnm1","mesano_sent","casos_novos_2026","julgados_2026","prim_sent2026","suspensos_2026","dessobrestados_2026","cumprimento_meta1","distm2_a","julgm2_a","suspm2_a","cumprimento_meta2a","distm2_ant","julgm2_ant","suspm2_ant","desom2_ant","cumprimento_meta2ant","distm4_a","julgm4_a","suspm4_a","cumprimento_meta4a","distm4_b","julgm4_b","suspm4_b","cumprimento_meta4b"
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CARMO DO RIO CLARO",15745,"77ª ZONA ELEITORAL - CARMO DO RIO CLARO",NA,NA,0,0,0,0,0,0,87,87,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CASSIA",15746,"78ª ZONA ELEITORAL - CÁSSIA",NA,NA,0,0,0,0,0,0,35,35,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CATAGUASES",15747,"79ª ZONA ELEITORAL - CATAGUASES",NA,NA,0,0,0,0,0,0,493,493,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CAXAMBU",15748,"80ª ZONA ELEITORAL - CAXAMBU",NA,NA,0,0,0,0,0,0,357,357,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CLAUDIO",15749,"81ª ZONA ELEITORAL - CLÁUDIO",NA,NA,0,0,0,0,0,0,241,241,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CONCEICAO DAS ALAGOAS",15750,"82ª ZONA ELEITORAL - CONCEIÇÃO DAS ALAGOAS",NA,NA,0,0,0,0,0,0,19,19,0,142.857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CONCEICAO DO MATO DENTRO",15751,"83ª ZONA ELEITORAL - CONCEIÇÃO DO MATO DENTRO",NA,NA,0,0,0,0,0,0,411,404,0,140.424052832812,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CONGONHAS",15753,"85ª ZONA ELEITORAL - CONGONHAS",NA,NA,0,0,0,0,0,0,195,193,0,141.391941391941,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CONSELHEIRO LAFAIETE",15755,"87ª ZONA ELEITORAL - CONSELHEIRO LAFAIETE",NA,NA,0,0,0,0,0,0,13,11,0,120.879120879121,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRE-MG","Conhecimento não criminal","Justiça Eleitoral","G1","MG","CONSELHEIRO LAFAIETE",15756,"88ª ZONA ELEITORAL - CONSELHEIRO LAFAIETE",NA,NA,0,0,0,0,0,0,198,196,1,142.131979695431,1,0,1,0,0,0,0,0,0,0,0,0,0
